background right= -125.15186102027785
background left= -125.21005174203697
极值点:( 4708.0 , -130.12027313520042 )
极值点:( 7923.0 , -130.2158127954149 )
极值点:( 11059.0 , -130.2836316445068 )
极值点:( 14237.0 , -130.54514757654445 )
极值点:( 17383.0 , -130.58396685417645 )
极值点:( 20524.0 , -130.65721806109306 )
极值点:( 23727.0 , -130.616448730423 )
极值点:( 26859.0 , -130.69891013992 )
极值点:( 30087.0 , -130.6128360956949 )
