background right= 155.63916170780325
background left= 155.93726035211003
极值点:( 4678.0 , 151.0303719624501 )
极值点:( 7901.0 , 151.04429249670466 )
极值点:( 11047.0 , 151.0393434796156 )
极值点:( 14200.0 , 150.8654295336056 )
极值点:( 17376.0 , 150.9159653747382 )
极值点:( 20527.0 , 150.9807751402165 )
极值点:( 23687.0 , 151.13282665146338 )
极值点:( 26852.0 , 151.05142150856236 )
极值点:( 30047.0 , 151.2173586665342 )
