background right= -125.12292138575177
background left= -125.28276242939778
极值点:( 4713.0 , -130.23098403438348 )
极值点:( 7958.0 , -130.2445702939678 )
极值点:( 11105.0 , -130.3396979869408 )
极值点:( 14221.0 , -130.59919636527326 )
极值点:( 17437.0 , -130.61084654096152 )
极值点:( 20560.0 , -130.64045490372072 )
极值点:( 23724.0 , -130.57769465740404 )
极值点:( 26880.0 , -130.77646356757413 )
极值点:( 30089.0 , -130.6350875472465 )
