background right= 155.88500622555475
background left= 155.8708494250616
极值点:( 4705.0 , 150.95017024180726 )
极值点:( 7907.0 , 150.97301735314826 )
极值点:( 11061.0 , 150.97906149542888 )
极值点:( 14223.0 , 150.85903514481646 )
极值点:( 17376.0 , 150.9179410470941 )
极值点:( 20531.0 , 150.99455651376587 )
极值点:( 23702.0 , 151.17611210332322 )
极值点:( 26853.0 , 151.21119207886554 )
极值点:( 30047.0 , 151.40799569894756 )
