background right= -132.6249571346676
background left= -132.6396087779799
极值点:( 4718.0 , -138.0366791237343 )
极值点:( 7958.0 , -138.06578873862568 )
极值点:( 11083.0 , -138.10908605386274 )
极值点:( 14253.0 , -138.34325304624963 )
极值点:( 17413.0 , -138.38919425606232 )
极值点:( 20573.0 , -138.38706630019107 )
极值点:( 23735.0 , -138.28707385165308 )
极值点:( 26858.0 , -138.46298486727895 )
极值点:( 30077.0 , -138.3291168744555 )
