background right= -105.49037160406627
background left= -104.9688319315533
极值点:( 5723.0 , -115.8506081296114 )
极值点:( 8975.0 , -116.31789165654516 )
极值点:( 12133.0 , -116.22170627957397 )
极值点:( 15292.0 , -116.38364940671573 )
极值点:( 18433.0 , -116.40744419129729 )
极值点:( 21620.0 , -116.21740451416471 )
极值点:( 24741.0 , -115.66533385596965 )
极值点:( 27930.0 , -115.36479295175405 )
极值点:( 31101.0 , -115.24997979565848 )
