background right= -104.52916136498249
background left= -104.33772654595762
极值点:( 5529.0 , -115.27774492754502 )
极值点:( 8782.0 , -115.76044604365019 )
极值点:( 11874.0 , -115.6131031951727 )
极值点:( 15036.0 , -115.81638242825315 )
极值点:( 18212.0 , -115.69964038109904 )
极值点:( 21382.0 , -115.5309139115103 )
极值点:( 24547.0 , -114.82960435231317 )
极值点:( 27710.0 , -114.57229300269235 )
极值点:( 30957.0 , -114.42062630946378 )
