background right= 1296482823.4995582
background left= 1297780804.4142675
极值点:( 5680.0 , 1297774071.3549426 )
极值点:( 8869.0 , 1297773772.3911626 )
极值点:( 11993.0 , 1297773833.6442482 )
极值点:( 15224.0 , 1297773525.587457 )
极值点:( 18332.0 , 1297773534.2813556 )
极值点:( 21451.0 , 1297773683.1552286 )
极值点:( 24645.0 , 1297774089.8497472 )
极值点:( 27838.0 , 1297774252.6229749 )
极值点:( 30955.0 , 1297774471.1669707 )
