background right= -79.1894331681522
background left= -79.07322429242583
极值点:( 5620.0 , -84.98083454365695 )
极值点:( 8857.0 , -85.09974743185784 )
极值点:( 11984.0 , -85.00638157753194 )
极值点:( 15200.0 , -85.08201319885775 )
极值点:( 18324.0 , -85.08033327608456 )
极值点:( 21491.0 , -85.13370591125512 )
极值点:( 24643.0 , -84.88774242498344 )
极值点:( 27768.0 , -84.78385966666504 )
极值点:( 31055.0 , -84.78843554601555 )
