background right= 1296483521.95467
background left= 1297781648.1524456
极值点:( 5468.0 , 1297774736.3619897 )
极值点:( 8838.0 , 1297774262.1456041 )
极值点:( 12053.0 , 1297774477.9639165 )
极值点:( 15186.0 , 1297774085.40736 )
极值点:( 18308.0 , 1297774323.5187106 )
极值点:( 21358.0 , 1297774352.9236553 )
极值点:( 24455.0 , 1297774940.991763 )
极值点:( 27657.0 , 1297774807.6240926 )
极值点:( 31022.0 , 1297775083.123671 )
