background right= -79.71476548591352
background left= -79.52143042051038
极值点:( 5642.0 , -85.46421108324864 )
极值点:( 8870.0 , -85.60238553350575 )
极值点:( 12000.0 , -85.56733957493525 )
极值点:( 15197.0 , -85.65762952570421 )
极值点:( 18352.0 , -85.67858732053821 )
极值点:( 21468.0 , -85.62250844650976 )
极值点:( 24587.0 , -85.43157400563362 )
极值点:( 27831.0 , -85.3322293105411 )
极值点:( 31051.0 , -85.3477384029563 )
